,headline,shortInformation,story
10,These iPhones may not get Apple’s next iOS 13 update,Apple’s next iOS 13 update could make these iPhone models outdated soon. ,"Apple is reportedly going to make an unpopular decision with its iOS 13 update – dropping support for iPhone 6, iPhone 6 Plus, iPhone SE and older iPhones. The company may also keep iPad mini 2 and iPad Air out of its iOS 12 coverage. While iPad mini 2 and iPad Air are quite old models, the decision to remove iPhone 6 and iPhone 6 Plus is going to draw criticism. These two models are among the most popular iPhones ever and are still selling in markets like India. Even Apple iPhone SE is available in the market. Each year Apple releases new iOS iteration with new updates and features. Following criticism over deliberately throttling performances of older devices, Apple made some radical changes with iOS 12 update last year. One of the biggest talking points of iOS 12 was that it retained compatibility with iPhones as old as iPhone 5S. Apple’s decision to drop support for iPhone 6 and other models is being considered as a ploy to push older users to newer iPhones. Since 2017, Apple has launched as many as three new iPhone models. The company is going to continue the trend in 2019 as well. The catch, however, is that despite adding three new models each year, a lot of old users aren’t upgrading – hitting the company’s revenues. Apple is already grappling with weakened sales in key markets including India. According to the company, iPhone sales dropped by 17% compared to the year prior. Despite sales plummeting and company’s new services push, iPhone still accounts for 54% of the company’s business. Last year, it had about 61% of share. 
First Published:
									May 13, 2019 12:17 IST
"
11,Spotify Lite now available in India as beta: All you need to know,"After successful tests in markets including Indonesia, Philippines, Malaysia, Mexico, and Brazil, the 10 MB-sized app which has similar look and feel to the main app is now available in Beta for the Indian users.","Swedish music streaming platform Spotify has brought a lighter version of its app to India that is built for low-end Android smartphones.After successful tests in markets including Indonesia, Philippines, Malaysia, Mexico, and Brazil, the 10 MB-sized app which has similar look and feel to the main app is now available in Beta for the Indian users. It uses less storage, making it an ideal option for older phones with limited capacity.“When Spotify launched in India two months ago, we had committed to localising the app so that more and more people can listen to music.“Spotify Lite Beta is a step in that direction as it enables users to play millions of songs for free, takes up less space on phones, and saves data when used on the go,” Amarjit Batra, Managing Director India, Spotify, told IANS on Monday.The lighter app can be downloaded separately (via Play Store) and can be used either alongside or independently from the main Spotify app.“Our ambition is to be available on all platforms that make sense to our users, and make the music streaming experience as seamless as possible,” Batra added.Spotify Lite lets you play your favourite songs and artists on demand, discovers new music, keeps track of storage (has control over cache and ability to clear it), keeps track of data and works on all low-end Android phones in all network conditions.The app works when the network is patchy, users are struggling with the Internet or for when they don’t want to spend much mobile data.The main Spotify app that came to India is February had amassed one million followers within the week of its launch.Spotify, offering more than four crore songs and 300 crore playlists for music fans in the country, is available across 79 markets. Spotify has 207 million active users and 96 million of these users are Spotify Premium subscribers. The platform adds approximately 30,000 new tracks each day.Spotify is available on over 500 products across 200 hardware brands globally.
First Published:
									May 13, 2019 11:17 IST
"
12,OnePlus 7 Pro to Realme X: Top new smartphones set to launch this week,"From OnePlus 7 Pro, Asus Zenfone 6 to Motorola One Vision, here are top smartphones scheduled to launch this week. ","If you’re planning to buy a new smartphone, you may want to hold on for a week. From OnePlus to Asus, a range of new smartphones will debut this week. Expect the new phones to feature the latest processor, improved camera and design. Some of the latest phones are powered by Snapdragon 855 processor, Qualcomm’s flagship chipset for 2019. There will also be mid-range phones with high end specifications. Here are top phones set to launch this week.OnePlus 7 Pro, OnePlus 7The hottest launch of the week is OnePlus 7 series. The latest flagship lineup features two new smartphones, OnePlus 7 Pro and OnePlus 7. Ahead of the official launch, OnePlus has already confirmed top features of OnePlus 7 Pro which is going to rival the likes of Samsung Galaxy S10e, Apple iPhone XR and more. OnePlus 7, however, is expected to be incremental upgrade and may skip the bold changes that the Pro model is going to come with. The OnePlus 7 series will launch in India on May 14. Redmi X Xiaomi’s first Redmi phone with Snapdragon 855 processor will launch in China on May 14. Called Redmi X, the smartphone will come with a pop-up selfie camera, up to 8GB of RAM and 128GB of onboard storage. The smartphone could feature a 6.39-inch full HD+ display. Just like Xiaomi Redmi Note 7 Pro, Redmi X will feature a 48-megapixel camera. Overall, it will have three rear cameras. Motorola One Vision One Vision, Motorola’s first smartphone with gradient design and 48-megapixel rear camera, is expected to launch in Brazil on May 15. Apart from a new back panel design, Motorola One Vision will also sport a punch-hole camera on the front, suggest leaked renders of the phone. Interestingly enough, Motorola is speculated to use Samsung’s Exynos 9609 processor on its new phone. Moto E6 Alongside One Vision, Motorola is said to be readying a new entry-level phone, Moto E6. The device is expected to be powered by Qualcomm Snapdragon 430 processor with 2GB of RAM and up to 32GB storage. Other key features of Moto E6 include 5-megapixel selfie camera, 13-megapixel rear camera, Android Pie, and 5.45-inch HD+ display.Realme XRealme is set to debut in China market on May 16 with a brand new Realme X smartphone. It’ll also be the first smartphone from Realme to offer a pop-up selfie camera. Set to compete with Redmi X, Realme’s X phone will feature a notch-less 6.5-inch full HD+ display. It is also expected to come with dual-rear cameras including a 48-megapixel sensor. It will run on an octa-core processor with 4GB of RAM and 64GB of storage. Realme X will be accompanied by a cheaper Realme X Youth. Asus Zenfone 6Asus is getting ready for its first big smartphone launch on May 16. The company will unveil Asus Zenfone 6, the successor to last year’s Asus Zenfone 5 and 5z phones. Ahead of the launch, Asus has confirmed availability of Qualcomm’s Snapdragon 855 processor, USB Type-C support, and 3.5mm headphone jack. 
First Published:
									May 13, 2019 10:47 IST
"
13,Machine Learning and AI: An unsolved puzzle,"The enterprises are trying to harness the explosion of digital data and computational power with advanced algorithms. However, there’s still a lot of confusion within the public and the media regarding what is ML and AI.","The most buzzed-about disruptive technologies that are changing business landscapes today are Machine Learning (ML) and Artificial Intelligence (AI). Almost all of us have heard or read about them but do we actually know what the fuss is all about?The enterprises are trying to harness the explosion of digital data and computational power with advanced algorithms to enable collaborative and natural interactions between people and machines.However, there’s still a lot of confusion within the public and the media regarding what is ML and AI.People prefer to write AL and ML technologies -- and not ML and AI -- and the argument goes that the former syncs well with the human mind.  Both the terms are often being used as synonyms and in some cases as discrete, parallel advancements. In reality, ML is to AI what neurons are to human brain. Let us start with ML.ALSO READ: Facebook AI scans videos of real people to turns them into game charactersAccording to Roberto Iriondo, Editor of Machine Learning Department at Carnegie Mellon University in Pennsylvania, ML is a branch of AI.As coined by computer scientist and machine learning pioneer Tom M. Mitchell, “ML is the study of computer algorithms that allow computer programmes to automatically improve through experience”. For instance, if you provide an ML model with songs that you enjoy, along with audio statistics (dance-ability, instrumentality, tempo or genre), it will be able to automate and generate a system to suggest you music that you’ll enjoy in the future, similarly as to what Netflix, Spotify and other companies do.“In a simple example, if you load an ML programme with a considerable large data-set of X-ray pictures along their description (symptoms etc), it will have the capacity to assist (or perhaps automatise) the data analysis of X-ray pictures later on,” said Iriondo. ALSO READ: IIT-Jodhpur to set up India’s largest Artificial Intelligence supercomputerThe ML model will look at each one of the pictures in the data-set, and find common patterns in pictures that have been labelled with comparable indications.  AI, on the other hand, is exceptionally wide in scope and is a system in itself and not just independent data models.  In simpler terms, AI means creating computers that behave in the way humans do.However, according to Theo van Kraay, Cloud Solution Architect (Advanced Analytics &amp; AI), Customer Success Unit at Microsoft, any attempt to try to define AI is somewhat futile, since we would first have to properly define “intelligence”, a word which conjures a wide variety of connotations. “Firstly, it is interesting and important to note that the technical difference between what used to be referred to as AI over 20 years ago and traditional computer systems, is close to zero,” says van Kraay. What AI systems today are doing reflects an important characteristic of human beings which separates us from traditional computer systems - human beings are prediction machines. Many AI systems today, like human beings, are mostly sophisticated prediction machines. “The more sophisticated the machine, the more it is able to make accurate predictions based on a complex array of data used to train various (ML) models, and the most sophisticated AI systems of all are able to continually learn from faulty assertions in order to improve the accuracy of their predictions, thus exhibiting something approximating human intelligence,” van Kraay said.Most ML algorithms are trained on static data sets to produce predictive models, so ML algorithms only facilitate part of the dynamic in the definition of AI.  Fifty years ago, a chess-playing programme was considered a form of AI. Today, a chess game would be considered dull and antiquated, due to the fact that it can be found on almost every computer.“AI today is symbolised with human-AI interaction gadgets like Google Home, Apple Siri and Amazon Alexa or ML-powered video prediction systems that power Netflix, Amazon and YouTube,” says Iriondo. In contrast to ML, AI is a moving target and its definition changes as its related technological advancements turn out to be further developed. “Possibly, within a few decades, today’s innovative AI advancements will be considered as dull as flip-phones are to us right now,” quips Iriondo.
First Published:
									May 12, 2019 18:02 IST
"
14,Elon Musk’s brain tech startup ‘Neuralink’ is raising more cash,The venture has both awed and repelled various Musk watchers over the possibilities that it seemingly offers for connecting brains to computers.,"Neuralink, a small and secretive brain computing startup founded by Elon Musk, has raised $39 million of a planned $51 million funding round, according to a filing Friday with the Securities andExchange Commission.It was not immediately clear if the funders included traditional venture capital investors or if they comprised Musk and Neuralink employees. A spokesman did not immediately respond to a request for comment. Two years ago, the company said in a filing that it had raised $27 million of a planned funding round of as much as $100 million.Neuralink was registered as a California medical research company in 2016and has operated quietly from San Franciscosince then. The company has hired away several high-profile neuroscientists from various universities and contracted with a laboratoryat the University of California,Davisto conduct research on primates.The venturehas both awed and repelled various Musk watchers over the possibilities that it seemingly offers for connecting brains to computers. In March,a paper by a group of researchers affiliated with Neuralink was posted online. It outlineda novel technique for implanting electrodes into rat brains.In April, when asked by aTwitter user for a Neuralink update, Musk replied“Probably something notable to announce in a few months.”Separately, Tim Gardner, a co-founder of Neuralink and a prominent early hire for the company, is taking a jobas a professor of neuroengineering at the University of Oregon. He joined Neuralink from Boston University in March 2017.
First Published:
									May 12, 2019 17:56 IST
"
15,HTC to exit Chinese smartphone market: Report,For now HTC is still selling devices through its own official store as well as the VIVE flagship physical store in Shenzhen. ,"Taiwanese handset maker HTC’s recent decision to pull its phones from two of China’s largest e-commerce sites strongly suggests that it is perhaps looking to exit the Chinese smartphone market.“Due to the consideration of HTC China’s long-term business strategy, we will temporarily close the HTC mobile phone Jingdong flagship store and Tmall flagship store. HTC smartphones and accessories can still be purchased through HTC Official Mall and HTC VIVE Flagship Store. We will continue to provide quality pre-sales and after-sales service as always,” HTC announced on Weibo, according to the Android Central.Jingdong and Tmall are two of China’s largest e-commerce sites, so this would essentially be like a company deciding to stop selling its phones on Amazon and B&H in the US, the report added late on Friday.For now the smartphone player is still selling devices through its own official store as well as the VIVE flagship physical store in Shenzhen. However, the former doesn’t have devices such as the U11 or U11+ in stock anymore, so it may not be long until that gets shutdown too.The Taiwanese smartphone maker had a rough 2018 when its revenue dropped to an all-time low.According to the handset maker’s year-end 2018 numbers, it took in just NT$23.74 billion (or $770 million) during 2018, the lowest in all its years as a public company.A year ago, rumour mills were abuzz that search engine giant Google would acquire HTC but the former ended up just buying HTC’s Pixel team in a $1.1 billion deal. According to the deal, over 2,000 HTC engineers are moving over to Google.HTC’s contract manufacturing operations and VR division were reportedly not affected, but a substantial majority of the smartphone R&D team went on to join Google.
First Published:
									May 12, 2019 17:49 IST
"
16,Playable podcasts to now appear in Google search results,The latest feature shows users three most recent episodes that could be played directly in Google’s web player,"After making the functionality to smartphones earlier, Google has now rolled out its podcast-focused search results for desktop browsers that would list playable podcasts for users to choose from.Announced at Google’s I/O conference earlier this week, the feature would show users three most recent episodes that could be played directly in Google’s web player on podcasts.google.com, The Verge reported on Friday. The web player, which was first spotted back in March, has a similar set of playback controls to the dedicated Google Podcasts app that launched on Android in 2018. “You can skip forwards and backwards, control playback speed, and if you’re signed in with a Google Account then it should sync your playback across multiple devices,” the report said. However, the interface only lets user browse episodes from a single podcast at a time, at least as of now. Earlier in April, Apple also updated the web interface for Podcasts to allow it to play episodes directly on web, the report added. 
First Published:
									May 12, 2019 17:43 IST
"
17,Apple settlement made Qualcomm CEO richer by $3.5 million,"Apple settled the legal battle earlier in April at an undisclosed amount and as part of the deal agreed to use Qualcomm chips in its upcoming 5G-enabled iPhone, scheduled to be launched in 2020. ","After settling a bitter multi-billion dollar legal battle with Apple, the CEO of US-based chip-maker Qualcomm received a hefty bonus of $3.5 million.Qualcomm CEO Steve Mollenkopf received 40,794 shares of Qualcomm stock, which works out to just under $3,501,757 at Friday’s closing price of $85.84, CNBC reported. In an official filing with the US-based Securities and Exchange Commission (SEC), the chip-maker noted that the entire executive team at Qualcomm received bonuses for settling the legal war with the iPhone-maker. The two tech giants locked horns in courts around the world over how much Qualcomm charges for the intellectual property inside of the chips that enable devices like the iPhone to connect to cellular networks. Apple settled the legal battle earlier in April at an undisclosed amount and as part of the deal agreed to use Qualcomm chips in its upcoming 5G-enabled iPhone, scheduled to be launched in 2020. However, the newly-granted shares further reinforce that Qualcomm believes the terms of the settlement were favourable, the report said.ALSO READ: How 5G drove moves by Apple, Qualcomm and Intel“In making these grants, the Compensation Committee considered the anticipated long-term stockholder value resulting from these agreements with one of the company’s key customers,” the report quoted Qualcomm as saying in the SEC filing.During Qualcomm’s earnings report earlier in May, the company said it expected an additional revenue between $4.5 billion and $4.7 billion from a payment from Apple as part of the settlement. Qualcomm also plans to increase bonuses to its rank-and-file employees, Qualcomm CFO Dave Wise announced earlier in May.
First Published:
									May 12, 2019 17:37 IST
"
18,Instagram testing new Stickers with song lyrics,New Sticker feature will show music lyrics of a song playing in the Stories background.,"Facebook-owned messaging app Instagram is testing a new Sticker feature that will show music lyrics of a song playing in the Stories background.Still in development, the feature was predicted in April on Twitter by reverse engineer Jane Manchun Wong, who even demonstrated its working in a short music video from Rick Ashley’s “Never Gonna Give You Up” along side its lyrics, The Verge reported on Saturday.Details about what exact region is the app testing the feature in remains unclear as of now. Information about its public availability also remains undisclosed. ALSO READ: Instagram planning to hide like count from audienceIn 2018, the photo-messaging app brought music to its Stories feature, allowing users to add background music to accompany their posts and customise their Stories with specific clips for certain pictures or videos.In December, Instagram added some additional musical features, allowing users to respond to questions with songs, along with countdowns and question stickers for live videos, the report added. 
First Published:
									May 12, 2019 17:32 IST
"
19,"Swipe right even on 2G connections, Tinder Lite is coming soon","A Tinder Lite app would give it access to millions of people who have basic smartphones, limited access to data or both.  ","In a bid to rope-in more users without having to worry about the on-device space management and extravagant Internet usage, dating app Tinder is planning to launch its light-weight Tinder Lite app.A Tinder Lite app would give it access to millions of people who have basic smartphones, limited access to data or both.  As part of an earnings call, Mandy Ginsberg, CEO of Tinder’s parent company Match Group, divulged plans for the Tinder Lite app which would be smaller and better-suited to areas where cellular data “comes at a premium”, Engadget reported on Saturday. ALSO READ: Tinder to now prioritise active users, does away with Elo score algorithmEven though Ginsberg made no mention of features or a release date other than “soon”, she pointed to the Southeast Asian region as high priority where there’s an influx of young people into packed cities.India, which has the largest population of millennials in the world, is also part of Tinder’s target.According to information available on public domains, it is estimated that 50 million people worldwide use Tinder.Tinder’s paid subscribers jumped 38 per cent year-over-year (YoY) in early 2019.
First Published:
									May 12, 2019 17:25 IST
"
20,"Xiaomi Redmi 7 review: Value-for-money smartphone under Rs 10,000",Xiaomi Redmi 7 comes with better screen design and battery than Redmi 6-series. Here’s our detailed review of the new budget phone. ,"Brand: XiaomiProduct: Redmi 7Key specifications: 6.26-inch HD+ display, Qualcomm Snapdragon 632 processor, 4,000mAh battery, 12-megapixel and 2-megapixel dual rear cameras, 2GB and 3GB RAM, 8-megapixel selfie camera, and dual 4G.Price: Rs 7,999 (base model)Rating: 3/5{""@context"": ""http://schema.org"",""@type"": ""Review"",""author"": {""@type"": ""Person"",""name"": ""Kul Bhushan"",""sameAs"": ""https://www.hindustantimes.com/""},""datePublished"": ""2019-05-12T16:34Z"",""Headline"": ""Xiaomi Redmi 7 review: Value-for-money smartphone under Rs 10,000"",""inLanguage"":""en"",""itemReviewed"": {""@type"": ""Product"",""name"": ""Xiaomi Redmi 7""},""reviewRating"": {""@type"": ""Rating"",""worstRating"": 0,""bestRating"": ""5"",""ratingValue"": ""3""},""url"": ""https://www.hindustantimes.com/tech/xiaomi-redmi-7-review-value-for-money-smartphone-under-rs-10-000/story-R7u1ZLJmQAhr61OmHxNBKI.html"",""description"": ""Xiaomi Redmi 7 comes with better screen design and battery than Redmi 6-series. Here’s our detailed review of the new budget phone."",""publisher"": {""@type"": ""Organization"",""name"": ""Hindustan Times"",""sameAs"": ""https://www.hindustantimes.com/""}}Redmi 7 is the latest budget smartphone from Xiaomi. The successor to Redmi 6-series, which launched in India almost six months ago, comes with several upgrades including design improvements and better specifications. With price starting at Rs 7,999, Redmi 7 is sandwiched between Redmi Go and premium Redmi Note 7 phones. As expected from Xiaomi, the latest Redmi 7 smartphone checks all the boxes for a solid budget smartphone. It features 6.26-inch HD+ display, Qualcomm Snapdragon 632 processor, 4,000mAh battery, 12-megapixel and 2-megapixel dual rear cameras, and expandable storage up to 512GB. Very few phones at the price point or cheaper can match this set of specifications. Just like newer Redmi Note 7 series, the Redmi 6 successor has also received the much-needed design upgrade. Gone is the boat-shaped iPhone X-lookalike notch on the top. Redmi 7 comes with a tinier and less distracting dot notch on the front. Coupled with a 19:9 HD+ display, Redmi 7 catches up with the latest phones similar screen design layout. The back panel has now glass-like finish. The black colour may not be the best looking one, but you can consider the Comet Blue and Lunar Red colour variants as well. Xiaomi’s Redmi 7 feels slightly heavy at 180 grams and is quite thick too at 8.47mm. Volume and power buttons, however, are well within the reach. The fingerprint sensor on the back is also easily accessible. While Xiaomi has definitely worked on the looks of the phone, the design implementation could have been slightly better. For instance, edges feel sharper than usual. ALSO READ: Realme 3 Pro ReviewBut there’s a lot going for Redmi 7. The 12-megapixel and 2-megapixel dual rear cameras deliver good results in daylight conditions. You can further enhance the images by switching on the AI and HDR modes. There’s also a Pro mode in the camera for further personalisation. For a Rs 7,999 phone, Redmi 7 does a good job. Lowlight images could have been much better, but that’s something a lot of phones in this category and even more expensive phones haven’t been able to fix. Xiaomi Redmi 7 handles day-to-day tasks with ease. From hours of YouTube streaming to browsing and instant messaging, Redmi 7 lives up to our expectations. You can play PUBG on the phone as well. While basic games run pretty smooth on the phone, graphic-intensive apps may lag a bit. The 4,000mAh battery is a welcome upgrade. The phone can easily last more than a day if you’re a light user. For power users, Redmi 7 can still deliver almost day-long backup. Other elements such as call quality and speakers are fine. Verdict At Rs 7,999, Xiaomi Redmi 7 is definitely worth considering. If you have Rs 1,000 extra, you can get a better model with 3GB of RAM and 32GB storage. If your budget is more flexible, you can get the base model of Xiaomi Redmi Note 7 which is priced at Rs 9,999. The Note 7 also offers better Snapdragon 660 processor. 
First Published:
									May 12, 2019 16:34 IST
"
21,WhatsApp’s latest Android beta update skips ‘Dark Mode’ feature,WhatsApp is still not ready with ‘Dark Mode’. Here’s what the latest Android beta version for WhatsApp has to offer. ,"You may have to wait longer for ‘Dark Mode’ on WhatsApp. The latest beta build for WhatsApp’s Android version has again skipped the long-awaited feature after sporadic implementation of Dark Mode in previous builds. According to WABetainfo, WhatsApp’s latest Android beta version 2.19.133 does not feature the official ‘Dark Mode’. Instead it focuses on fixing bugs. According to the Play Store change long, the update makes it easier to start group voice and video calls. “Just tap the call button in groups or select “New group call” when starting a new call in the calls tab. Group calls support up to 4 participants,” it reads.As far as ‘Dark mode’ goes, it is one of the most awaited features on WhatsApp. As the name implies, the mode changes the background colour to black or dark grey in case of WhatsApp. The icons are highlighted in the familiar green colour. WhatsApp was said to have begun implementing ‘Dark Mode’ with its beta versions released earlier this year. The mode, however, was only seen in certain sections of the WhatsApp app such as Settings, Status and Calls. “Probably you have noticed that some colors (status bar, notification buttons and reply bar) are changed in the latest WhatsApp beta updates for Android. Yes, they are “dark”, but I suppose they are wrongly visible now, because they should appear when the dark mode is enabled,” said the WhatsApp tracker in a tweet. 
First Published:
									May 12, 2019 14:58 IST
"
22,"Motorola One Vision: Release date, top features, expected specifications","One Vision will be Motorola’s first phone with punch-hole display, gradient design and 48-megapixel rear camera. Here’s what to expect from the new phone.","Motorola is set to launch two new smartphones on May 15. The new offerings from Motorola are Motorola One Vision and Moto E6. While the E-series phones are targeted at entry-level segment, One Vision is set to be Motorola’s biggest launch of the year. With One Vision, Motorola is bringing its first phone with punch-hole camera – a new screen design seen on the likes of Samsung Galaxy S10. Motorola One Vision will also be the company’s first phone with modern gradient design. Motorola One Vision will feature is Samsung’s Exynos 9609 chipset. The phone was earlier rumored to come with Exynos 9610 processor. The chipset is coupled with 4GB of RAM and 128GB expandable storage. It’s highly likely Motorola will launch multiple RAM and storage variants of the phone. In the camera department, Motorola One Vision will come with two rear sensors including a 48-megapixel shooter with f/1.7 aperture and a 5-megapixel secondary sensor. On the front, One Vision will come with 25-megapixel selfie camera. Other expected specifications of Motorola One Vision include 3,500mAh battery, Bluetooth 5.0, NFC, dual-band Wi-Fi, and fast charging support. It also has a fingerprint sensor. Apart from One Vision, Motorola is also going to launch an entry-level Moto E6. The smartphone is expected to come with Qualcomm Snapdragon 430 processor with 2GB of RAM and up to 32GB storage. Other important specifications of Moto E6 include 5.45-inch HD+ display, 5-megapixel selfie camera, 13-megapixel rear camera, and Android Pie.
First Published:
									May 12, 2019 14:24 IST
"
23,OnePlus 7 Pro: 5 features confirmed for the latest flagship smartphone,"OnePlus 7 Pro is coming on May 14. From HDR 10+ display to pop-up selfie camera, here are five features confirmed on OnePlus 7 Pro.","OnePlus is set to launch its new OnePlus 7 series in India on May 14. This year OnePlus will be introducing two flagship phones – OnePlus 7 and OnePlus 7 Pro. Ahead of the official launch, OnePlus has already spilled the beans on its new premium smartphone, OnePlus 7 Pro, which is set to compete with the likes of Pixel 3a XL, Samsung Galaxy S10e and iPhone XR. HDR 10+ displayOne of the biggest features of OnePlus 7 Pro is going to be HDR 10+ screen. With DisplayMate A+ rating, OnePlus 7 Pro’s HDR 10+ screen will support high resolution streaming from the likes of Netflix and Amazon Prime Video. HDR 10+ support brings brightness peak at 4,000 nits, higher than HDR 10’s 3,000 nits brightness peak. The new HDR standard also provides frame-by-frame adjustments for better representation of contrast from the HDR source content.Pop-up Selfie CameraNo notch! OnePlus 7 Pro will bid adieu to cut-out display design in favour of a full-screen panel on the front. For selfies, OnePlus 7 Pro will support a pop-up selfie camera. Previously, pop-up selfie cameras have featured on phones such as Vivo Nex and Oppo Reno. Upcoming Redmi X and Realme X phones are also expected to feature pop-up selfie cameras.ALSO READ: OnePlus 7 Pro hogs the limelight but what about OnePlus 7?Triple Rear CameraAlong with a new pop-up selfie camera, OnePlus has already confirmed its new premium OnePlus 7 Pro will come with three rear cameras. This will be the first time OnePlus will have more than two camera sensors on its flagship phones. Triple-rear cameras are fast becoming standard feature on modern phones. Some phones such as Samsung Galaxy A9, Nokia 9 and Huawei P30 Pro come with more three camera sensors on the back. Do additional camera sensors improve image quality? Well, the experience has varied from phone to phone. ""OnePlus 7 Pro having UFS 3.0 storage means it’ll just be overall faster than comparable smartphones.""Yes, the OnePlus 7 Series will include UFS 3.0 to give you next level #fastandsmooth experience. 😎 #OnePlus7Series— Pete Lau (@PeteLau) May 5, 2019""OnePlus 7 Pro having UFS 3.0 storage means it’ll just be overall faster than comparable smartphones.""Yes, the OnePlus 7 Series will include UFS 3.0 to give you next level #fastandsmooth experience. 😎 #OnePlus7SeriesUFS 3.0 storageAmong many firsts, OnePlus 7 Pro will be also the company’s first phone to feature UFS 3.0 storage. The new storage standard ensures faster data transfer rate, ultimately improving performance of a phone. The standard was expected to launch with Samsung’s new flagship phones including Galaxy Fold, but it looks like OnePlus 7 Pro will be the first to sport the feature. 200% stronger vibration motor One of the biggest pain points for OnePlus users has been the weaker vibration engine. The company will finally fix the problem with its OnePlus 7 Pro which is said to feature “200% time stronger” vibration engine than the current OnePlus phones. OnePlus will also give users the option to personalise the vibration intensity.
First Published:
									May 12, 2019 13:22 IST
"
24,Mark Zuckerberg rejects call to break up Facebook,Zuckerberg said that Facebook’s budget for safety this year is bigger than the whole revenue of the company when it went public earlier this decade.,"Facebook CEO Mark Zuckerberg has rejected the call for breaking up his company, saying the size of Facebook is actually a benefit to its users and the security of the democratic process.In an interview with French broadcaster France 2, Zuckerberg dismissed the claim made by his long-time friend and Facebook Co-founder Chris Hughes that it is time to break up Facebook as Zuckerberg has yielded “unchecked power and influence” far beyond that of anyone else in the private sector or in government”.“When I read what he wrote, my main reaction was that what he’s proposing that we do isn’t going to do anything to help solve those issues.“So I think that if what you care about is democracy and elections, then you want a company like us to be able to invest billions of dollars per year like we are in building up really advanced tools to fight election interference,” Zuckerberg told France 2 while in Paris to meet with French President Emmanuel Macron.In an opinion piece in The New York Times on Thursday, Hughes said the government must hold Mark (Zuckerberg) accountable.“Mark’s personal reputation and the reputation of Facebook have taken a nose-dive,” wrote Hughes, who during his freshman year at Harvard University in 2002, was recruited by Zuckerberg for Facebook.ALSO READ: Facebook rejects co-founder call for company breakupZuckerberg said that Facebook’s budget for safety this year is bigger than the whole revenue of the company when it went public earlier this decade.“A lot of that is because we’ve been able to build a successful business that can now support that. You know, we invest more in safety than anyone in social media,” reports TechCrunch, quoting Zuckerberg.Hughes has written that Zuckerberg has surrounded himself with a team that reinforces his beliefs instead of challenging them.“Mark is a good, kind person. But I’m angry that his focus on growth led him to sacrifice security and civility for clicks,” he wrote.Embroiled in users’ data scandals, Facebook is set to create new privacy positions within the company that would include a committee, and external evaluator and a chief compliance officer.Facebook has already kept aside $3 billion, anticipating a record fine coming from the US Federal Trade Commission (FTC) related to the Cambridge Analytica data scandal that involved 87 million users.The Facebook case is being looked at as a measure of the Donald Trump administration’s willingness to regulate US tech companies.
First Published:
									May 12, 2019 12:07 IST
"
25,CCI orders probe into Google’s alleged abuse of Android to block rivals: Report,"The Competition Commission of India (CCI) last year started looking into the complaint, which is similar to one Google faced in Europe that resulted in a 4.34 billion euro ($5 billion) fine on the company.","India’s antitrust watchdog has ordered an investigation into Alphabet Inc’s unit Google for alleged abuse of its popular Android mobile operating system to block rivals, two sources aware of the matter told Reuters.The Competition Commission of India (CCI) last year started looking into the complaint, which is similar to one Google faced in Europe that resulted in a 4.34 billion euro ($5 billion) fine on the company, Reuters reported in February.In mid-April, the CCI decided there was merit in the accusations made in the complaint and ordered its investigation unit to launch a full probe, one of the sources with direct knowledge of the matter said. That decision, which was confirmed by the second source, has not been previously reported and the order calling the full investigation was not made public.“It is a strong case for the CCI, given the EU precedent,” said the first source. “The CCI has (preliminarily) found Google abused its dominant position.”The probe would be completed in about a year and Google executives would likely be summoned to appear before the CCI in coming months, the source said.The CCI did not respond to a request for comment.“Android has enabled millions of Indians to connect to the internet by making mobile devices more affordable. We look forward to working with the Competition Commission of India to demonstrate how Android has led to more competition and innovation, not less,” said a Google spokesperson in a statementReuters could not establish who filed the complaint, which involves more than one person.In the EU case, regulators said Google forced manufacturers to pre-install Google Search and its Chrome browser, together with its Google Play app store on Android devices, giving it an unfair advantage.(With inputs from HT correspondent)
First Published:
									May 10, 2019 17:27 IST
"
26,New music app on macOS to be like iTunes,"Instead of building the app from the scratch, the new music app for macOS would be a regular AppKit Mac app, so it would basically still be iTunes but with a few more features.","The much talked about standalone music app that Apple is bringing with macOS 10.15 is being built on the existing framework of iTunes, rather than on a new app code.Instead of building the app from the scratch, the new music app for macOS would be a regular AppKit Mac app, so it would basically still be iTunes but with a few more features cut off into separate apps to allow Apple to focus better on music, The Verge reported on Thursday. The upcoming music app is said to have kept many of the existing iTunes features including smart playlists, advanced library management, disc reading and burning along with syncing with iPods and iOS devices. With new standalone apps for all media types on macOS 10.15, iTunes becomes focused on just music and gets renamed to Music, like its counterpart on iOS, 9To5Mac reported. Apple will officially unveil macOS 10.15 at the World Wide Developers Conference (WWDC) in June.
First Published:
									May 10, 2019 17:14 IST
"
